text,sentiment
"sulit pera niyo dito",5
"Video and photo not related i just received the item and working thank u gomo and lazada delivery fast then",5
"We don't stop. We GOMO! The game-changer has finally arrived. Convert your data into calls and texts. Order your SIM today. No Expiry Data. 5G and LTE Ready. Free Delivery. Highlights: Free Delivery Available, App Available",4
"",4
"Better than Dito but still inferior to Smart in my current area. Yet to check the signal outside Manila. Shipping/packing/handling could've been better as seen on the sim housing. I noticed na kapag naka Wi-Fi, malakas ang signal but as soon as the data is turned on, signal deteriorates.",4
"He was also a man who was as well known for the three-thousand-dollar Italian suits which draped his well-fed frame as for his remarkable string of legal victories. I simply stood there, paralyzed by the shock of what I had just witnessed. thanks for letting me know and internet connection ko yung i please thank you for internet call please call back at work and check your internet conducting.",4
"Maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda maganda",5
"cute po sya",5
"mmmmmmm;mmggggggggggggaaaaaannnnnnnnnddddddddddaaaaaaaaqa sssssssssssssssyyyyyyyyyyyyyyyyyaaaaaaaa fffaaaast cccchaaarrggggggiiiiiiinnnnnnnnngggggggggggggggvg",5
"Gumagana sya and fast charging din, hopefully pang matagalan",5
"Ang ganda ng product nato fast delivery pa tapos ang bait pa ni courier at delivery man si seller naman is napaka acomodating",5
"good morning",4
"nice quality and fast charger. its very cheap price but im little dissapoint. no box only charger in plastic. anyway tnx seller",4
"not related po..pasensya na..ok naman yung charger working pareho ang concern ko lang e madaling mag init..sana magtagal..",4
"Good quality! Ganda ng charger, tsaka yung earphones malakas siya kaso mahina ata yung mismong mouthpiece ganon. Btw, thank u seller ",4
"bat Ganon Po sya ibang iba sa picture na packaging Yung item tas nong tinary kopo sya okay namn nong una pero nong tumagal Po nag loloko nasya ng s-stop mag charge at hingit sa lahat Yung nag delivery Po kanina dna binalik Yung sukli",2
"di po sya gumagana. sayang lang pera ",1
"I don't recommend this item guys, as you can see hindi si'ya compatible sa android phones ko. I'm so dissapointed, don't waist your money.",1
"ang pangit nmn ng packing nio ,bkit ung una qng order sainyo ang ganda may lalagyan bakit ,Kung keln nmn dumami ung order q ska nmn ganito , Plastic nlng ang lalagyan..kaasar nmn",1
"di po sya gumagana. sayang lang pera ",1
"I don't recommend this item guys, as you can see hindi si'ya compatible sa android phones ko. I'm so dissapointed, don't waist your money.",1
"ang pangit nmn ng packing nio ,bkit ung una qng order sainyo ang ganda may lalagyan bakit ,Kung keln nmn dumami ung order q ska nmn ganito , Plastic nlng ang lalagyan..kaasar nmn",1
"Maganda siya fast charger tlg",1
"thanx kaojcjwjxksosjcbcnjdjdjsnjsjsjjxnnfnnfnfkdjjsjjsnsnsnjsjjdjjfjfnnfjjfjfjj",5
"grabe sobrang maganda yung product at tsaka pagkabalot, what you see is what you get talaga. madali syang iadjust at yung para sa back ng cellphone ay designed sya para hindi madaling mahulog. I've always wanted this masakit kasi yung neck ko kakatingin sa ibaba. Thank you!",5
"thank you lazada...thank you seller at kay kuyang rider..maganda nman hindi na lagi hawak ang tablet kapag nood ng mga anik anik na youtube.",5
"agus na ayus nagamit na matibay. hindi mangangalalay sa kamay kakapanood ng series hehe. thank you seller. will buy again...",5
"Thank you seller tama po ang color n delivery",5
"it's nice! ",4
"ok naman yung product. pangit lang packaging as in walang bubble wrap, nilagay lang yung 3 boxes sa plastic ng lazada. kaya ayun yupi yupi yung mga boxes, buti di na damage mga holders.",4
"I ordered 1 black and 1 green, I received 2 greens",4
"goods naman quality mukhang matibay kaso minsan nahuhulog phone pag nakatayo okay nadin 3 lang order ko dumating apat so thank you po",4
"Ok lng for the price kasi mura sya Adjustable din Useful nman for cellphone stand. Convenient to useFast delivery and well packed 🏻  Recommend for not picky person",4
"i'm quite dissapointed po coz i have ordered black pro dumating po mint green, what's the purpose of giving options to your customer if you don't follow it. Hoping that this will be address so that this will not happen again.",2
"Wrong color. Oks lang yupi box pero wrong color. Fast ship tho ",2
"i want refund., 5pcs order ko., tas 3pcs lang darating., nasan na yung 2pcs pa., nonsense pa yung return refund policy ng lazada., magkano lang gusto niyo irefund 14p.,",1
"may order is black",1
"I just received my order. I'm so disappointed. The box is already opened, crumpled and the item is with scratches. I think this is a returned item.",1
"i want refund., 5pcs order ko., tas 3pcs lang darating., nasan na yung 2pcs pa., nonsense pa yung return refund policy ng lazada., magkano lang gusto niyo irefund 14p.,",1
"may order is black",1
"I just received my order. I'm so disappointed. The box is already opened, crumpled and the item is with scratches. I think this is a returned item.",1
"item was damaged ",1
"Tnx seller sana matagal ito masira.... Ay nako sira na kasi ang isa paano to... Hindi worth it pala ito... ",1
"wow! I like that it's working, really served it's purpose, great quality, correct order, well-packed and with good deal price. thank you! ",5
"oppo gamit q ok sha pwede sha sa oppo at Samsung Ganda den ng kulay ng order q ligth pink ligth blue and white super qt ya ty seller and kuya rider",5
"maganda po siya at maayos po noong pag deliver dito maayos po ang ganda po",5
"sobrang satisfied Po hahaha fast charger KC to ilang beses na naka try wortit po .. happy buyer",5
"okay naman siya ang gamda ang ganda hopefully magtagal tnx sa seller at sa delivery na taga sa amin din..",5
"Okay naman siya. Mabilis ang delivery. Maganda yung color nya. Kaso for me hndi sya fast charging, same lang dun sa old cord ng charger ko. Tsaka nag slow charging yung phone ko nung ginamit ko. Once pa lang naman. di ko lang alam sa mga susunod na gamit ko pa. Anyway, Thank you seller and lazada. ",4
"binili ko to nung October 28 tas dumating sa akin ngayong October 29. Yung packaging? dapat po binububble wrap nyo po para secure lang sila sa isang lugar Gumagana ba? Oo pero mabilis uminit yung cord. Pag magchacharge ka ng 25 minutes iinit na agad yung core. Overall? 4 stars",4
"all charging cables work's just fine",4
"ok nman yung item.. ngagamit n nmin ngayon... sana lang mafragal.. kaya lang puro tatlong pink binigay myo eh.. ano b yun.. di n nasunod yung gusto ko n kulay.. kaya 4 star lang bibigay ko.....",4
"Same issue as others. 2 violet at 1 blue, I received 3 blue. Nag communicate naman ako to avoid this problem maiintindihan nman kung hindi available para hindi nkaka disappoint pagdating ng items. Pls. do chat nman kung wala ung napili naming color/s alagaan nyo ang buyers kse paulit ulit kaming oorder kung excellent ang seller. We value the sellers asmuch as we hope you value us. Update: Without being told, nagsend si seller ng 1 pc. vilolet cord, very much appreciated. Thank you.",4
"Ok naman. Kaso ilang araw lang na gamit bumabagal na ang pagcharge. ",2
"My item just arrived, wrong color ung isa light blue ung pinili ko na slightly mas mataas na presyo pero ung binigay sakin white. Yun ang gusto kong kulay kaya kahit hindi pareho ng presyo ng iba keri lang tas sila lang din pala ang masusunod, kainis lang... hindi ko pa na test pero tiwala naman ako na gumagana to... Pang reserba ko muna just incase hindi na gumana ung current cable ko... ",2
"pag dating ng package binayaran naman namen yung package and yung shipping fee pero bat walang laman wala yung item sa loob pa refund po ",2
"sobra pala ang iksi nito..... less than 1 meter .... haiissst.... mura lang kasi.... kung bakit kasi walang nakalagay sa description kung ano ang TOTOONG length nito ",2
"maganda Sana yung charger Pero sa una lang sya..ang tagal mapuno CP ko tapos mabilis din masira Kaloka..",1
"maganda Sana yung charger Pero sa una lang sya..ang tagal mapuno CP ko tapos mabilis din masira Kaloka..",1
"at furst naimutan kong kasama pla ito sa order ko..hihihi..anyways okay naman yung cords however, di ganun kaayos..kasi ngayong nakalipas ng ilang weeks ng paggamit namin ay di na nagchacharge ng maayos..cturer na itong concern...",1
"you cheated me,i order and i paid complete your item but i very very dis appointed..i just recieved only 1 item.. my order is 3 items but you only send 1 item..howcome??? dahil lwng sa small amount at gusto mo kumita kaya nanloko ka ng tao..dont worry KARMA is just around the corner!!! babalik din sayo yan kung anong ginawa mong masama sa kapwa mo!! GOODLUCK!!!  HGRXVJOUFFHITFBJRESFJKHCFUTECVKKFFFGCDERIIJVDSFHIJVFDGUJBDDGHBVFDESFJOONFDDVfyhfdtvnigcdechukhdxcchjnbffhiuessvhlkjcdds",1
"wrong item,I ordered 4 pcs and the just gave me 2 pcs ,but still same price  ",1
"mali ang product na dumating..color gold order ko black dumating..ibang yari ang cp holder mukhang mumurahin lang..di na ako uulit..",1
"Nice. ",5
"ganda nman ng face mask hold kaka delivery lang order salamat kay kuya rider thank you sila mo iyan or pag dito ni package ko deliver between lazada good bless you 🏾 🏾 🏾 five star name into salamat kay kuya may duha november 24 2021",5
"Nice and good quality. Complete pieces. Recommended shop. Its great. Thank you. God bless.",5
"maayos syang dumating walang sira. Thank you seller! ang ganda po nagustuhan nilang gamitin ..",5
"So beautiful. This is a reminder that we should not become the very thing we are fighting against. #AllColorsAreBeautiful #BlackLivesMatter",5
"cute, ayos na ayos maraming salamat seller mukha nmng matibay, dpende nalang sa gagamit, approved! ",4
"thank you, thank you",4
"Kung ano nasa picture ganun nga siya. Tama lang sa presyo nya. Di lang tama yung kulay na pinadala. Wag na lang lagyan ng pagpilian ng kulay kung di rin naman pala susundin yung choice ng oorder. Atleast di kana magexpect pag random nakalagay. Dibaaa  ",4
"Very useful",4
"Maganda naman un items kaso ang tagal ng delivery tapos hassle pa kulang un quantity tapos un courier gusto pick up - in ko un items ko sa location niya eh \"delivery\" un request hnd naman pick up",2
"Complete orders. Pero hindi same ang colors sa pinili ko nung nagorder ako at pinakadisappointing yung black landyard dahil super nipis compared mo sa itsura sa reviews at mismong picture. Seller must improve!",2
"10 days late. Seller not empathetic. Product is good but wrong color. Delivery is confusing. ",1
"Kulang po dineliver sa akin. Dapat 3, 2 lang po ang nakalagay sa pouch.. Paano yung 1 kulang? ",2
"Okay sana ung item kaso magkaiba ung kapal eh. ",2
"10 days late. Seller not empathetic. Product is good but wrong color. Delivery is confusing. ",1
"DO NOT BUY THIS CRAP! MANIPIS SA ACTUAL. THIS IS A FALSE ADVERTISEMENT",1
"This is a complete disaster! Mali mali mga colors, sobrang tagal pa ng delivery. Green order ginawa nyong yellow, pink ginawa nyong violet! Paladesisyon kayo sa buhay ng ibang tao. Nakakafrustrate ang store nyo, may guidelines pa kayo piliin ng maayos ang item kayo naman ang hindi nasunod! ",1
"I ordered 3 pcs but i was only given 2pcs. I messaged the seller about how can i get the other missing piece. I also messaged the seller that I am about to order another set for my friend so maybe he can include the missing piece in my next order but the seller didnt reply. ",1
"Hndi sya nakasama sa package. Nakalimutan yata ni seller. ",1
"very nice you can attach the spoon to it's cover. It is well sealed",5
"Got the items secured and fast at first I thought it was not paired with its parts because of disassembled parts to fit in the box but when you try to up side down the cover you will discover that it really fit to each other. Ganda, though medyo maliit siya for me, Sana May pang half kilo or just at least 375 ang laki Nevertheless it serves its purpose!",5
"Glass nga siya, akala ko clear plastic lang.. maganda naman sya and medyo malaki kaya marami malalagay. Mabilis yung shipping. Thank you seller!",5
"Excellent quality, very accommodating seller, well packaged, item shipped immediately and will definitely order again",5
"what u see is what u get ",5
"4 star lang sa akin si seller disappointed ako dahil yung isa sira ang pinadala niya hindi ko malaman kung nasunog ito. sana yung mga ganitong itsura hindi niyo pinapadala sa buyer dahil binabayaran naman kayo ng tama. kung kayo kaya bibili at ganito ang ibibigay sa inyo matutuwa ba kayo? sana naisip niyo yun",4
"nice and safe packaging nakarating dq lang nagustuhan ung naka post may rubber ung takip pero sa personal na product wala nmn pala kaya hindi xa nasa2ra maayos ang takip di xa lapat na lapat si2ngaw lng ang iba condiments na ila2gay.",4
"maganda po sana ang product..kulang lang ng handle.sayang..pakipadala po ung hawakan ",4
"For only 120 pesos goods na siya. Mura and maganda yung products. ",4
"",4
"ayaw mg sara ang tkip nyangkabliktad mgnda sna e ..",2
"the one I ordered came broken grabe dapat walang star disappointing sayang when i received it i was wondering bakit makalansing i will never order from this seller sana ibalik na kng pera or resend me snother one ",1
"the item is actually cute...what disappointed me is that 2 of the 3 the items were damaged...i checked the boxes but the broken parts were not inside it... ",2
"May damage ung isang bottle, kita mong may mahabang hiwa. anyway mabilis naman ang delivery.",2
"I ordered 4 items... Basag na basag yung isa... Bubog ang kinalabasan... Next time lagyan niyo naman ng bubble wrap yung pinaka items... ",2
"the one I ordered came broken grabe dapat walang star disappointing sayang when i received it i was wondering bakit makalansing i will never order from this seller sana ibalik na kng pera or resend me snother one ",1
"i receive broken dazzle cup , i am lacking of hairclip, you have to replace it or refund what is lacking on the delivery",1
"Hindi kasya yung takip, akala ko may rubber siya kasi sa picture meron wala naman pala. ",1
"eto lang at ung basahan ang dumating sa mga order ko ung egg beater at san rio hindi dumating palpak ka seller irereport kkta sa lazada ng mawala ka. jan .. sayang dn ung 11pesos ko at 7pesos na bayad pero wlang item",1
"anong kalokohan yan seller nakabaliktad sayang pera ko khit mura lang ano to pano.ggamitin yan",1
"maganda sya sana tumagal ...thanks seller a deserves ng five stars ....6666666666766766",5
"so far so goodgumagana po lahat di ko na nakuhanan ung isa kasi kinuha na agad. sana nga lang po tumugaldi mabilis malowbat thank you Lazada thank you seller thank you mabait na rider.",5
"ok naman gumagana sya",5
"Got my parcel 9/16/21 from placed order 9/15/21 secure with bubble wrap=5 As always I do,try the item b4 review.it charge my phone from 2% - 36% from the bank stock charge 75% w/c is not as is bcoz its only a pre-charge but the outcome is good.i did that to empty the bank for me to know how long the bank can be fully charge.I've charge the bank using fast charger 2.1A at 9pm and its full the next day at 1pm.the LED light, don't expect too much bcoz it can only be use as a deem light=5 ",5
"super nice quality tagal nya ma lowbat nakaka 2 cp ako kasi minsan ginagamit ko pa din sya while using my ohone",5
"uag nakwgaj lagahwo ahaksuwg kwjjfskao wgakwkwhwnwkw ajjwkwqkjwgekwe sjejwhwjwhjsjwkwoiw",4
"maganda sya full charge nung nrvc ko nka 2 cp ako nacharge pero nung chinacharge ko n ung powerbank 8 hours n d p dn sya puno.. ao don lang ako nbother.. sana magtagal.. ",4
"Items received,. Well packed and naka bubble wrapped,. Napa responsive pa ng seller,. Thank you po. God bless and more sales to come. ",4
"Product is good. ",4
"I love this powerbank ",4
"Super dismaya ako sa item, ginamit ko agad itong powerbank nasa 75% pa pero hindi man lang na full charge ang cell ko at 35% lang. Akala ko ba kahit 2 cell kaya nitong ma full. ",1
"ano bang klaseng store to.. may pa message-message pa kaung nlalaman na lahat ng product chinicheck nyo bago nyo ibenta. ngaun pano ko mgagamit tong powerbank na bnli ko sa inyo? nkaka disappoint lang kayo. may bubble wrap pa kaung nlalaman sira naman ung pinadala nyo..ayos kayo noh...pra lang kumita.",1
"Hindi totoong 10000MAH bilis malowbatt tapos napakatagal ma fullcharge. di nga kaya ma fullcharge yung phone kong 5000Mah lang. peke. Hahaha",1
"57% yung phone ko nung chinarge ko yung phone ko sa powerbank na ito. Pero 84% pa lang yung phone ko low battery na yung powerbank!!  Full charge yung power bank, and then 1½ hours pa lang nakasaksak yung phone low battery na agad ",2
"Sa lahat ng inorder ko ito lang yung palpak kc hanggang 75 percent lang yung kaya ng powerbank kahit I charge mo pa ng 2hrs or 3 hrs kaya pala mura kc mapapamura ka kapag nagamit mo na",2
"Super dismaya ako sa item, ginamit ko agad itong powerbank nasa 75% pa pero hindi man lang na full charge ang cell ko at 35% lang. Akala ko ba kahit 2 cell kaya nitong ma full. ",1
"ano bang klaseng store to.. may pa message-message pa kaung nlalaman na lahat ng product chinicheck nyo bago nyo ibenta. ngaun pano ko mgagamit tong powerbank na bnli ko sa inyo? nkaka disappoint lang kayo. may bubble wrap pa kaung nlalaman sira naman ung pinadala nyo..ayos kayo noh...pra lang kumita.",1
"Hindi totoong 10000MAH bilis malowbatt tapos napakatagal ma fullcharge. di nga kaya ma fullcharge yung phone kong 5000Mah lang. peke. Hahaha",1
"Hindi maganda pakikitungu nung delivery at maling kulay ang pinadala. Black yung order ko pero dumating white. Seller pakiayos naman. Mas okay na yung delay yung order kaysa naman mali yung color na binigay ninyo. Dalawa pa naman inorder ko. Kabadtrip. Napakapangit mong kabonding. ",1
"A comprehensive review. TLDR: These are not authentic airdots, yes, even if they have the Lazmall branding. Looks for another store, I recommend PCTECH. For the love that is all holy DO NOT BUY from this store!I bought an airdots and a power bank from them because they have the \"Lazmall\" branding.I just received the items and I found out that they are selling counterfeit items. I know what an authentic airdots looks like.There should be a marking round the tip of the airdots it self. Build quality is laughable. Sound is horrible. Keeps on disconnecting even if my device is just literally 30 cm from my head.I even messaged the seller and they said that it's authentic. LIAR!!! PLEASE DONT BUY FROM THIS STORE",1
"one, isa nalang yung nandito sakin kasi naibigay ko na yung isa dun sa pinag bigyan ko  ",5
"Yung quality ng product ang ganda and naka sealed pa talaga at sure na hindi sana papasok yung water yet ang affordable at Buy 1 Take 1",5
"Yeeeeyy!! Arrived just in time! Thanks seller, malinaw pa din camera ko kahit nasa loob na ng pouchperfect pang under water! Thank you!! ",5
"Tama yung color na order ko super bilis dumating at mabait si kuya dilevery salamat",5
"YES MAY PANG REGALO NA AKO SA MGA INAANAK KO BUKAS... SALAMAT LAZADA AT SELLER... LALONG LALO NA KAY KUYA OLIVER NA ALWAYS NAGDEDELIVER SA AKIN NG MGA INORDER KO... I GIVE 10 STARS",5
"Ok nmn siya maayos dumating yun nga lng iba yung kulay na dumating dpat kasi alam ko black and white yung order ko naging purple but its okay kulay lng nmn yan e tska nga lng delay sya ng delay but its okay Den wala nmn kaso yun buti nlng dpa natutuloy swimming nmin dahil balik Ecq 2days lng ata yung delay pero oks lng satisfy padinn",4
"thank you seller the product arrived safely",4
"ok packaging is good..",4
"thank you s seller Sana nga tlaga d pasukin ng tubig.salamat KY kuyang delivery driver kc Kilala nya n ako Suki nya n me.hahaa thanks Lazada",4
"maganda sya kaso bakit pariho green dapat black Ang Isa nito",4
"Good quality and its cool!! ",5
"hahahaha ganyan talaga sya baka akalain nyo sa video sira ganyan sya pag binukasan maganda Hindi sya na papasukan ng tubig pero Hindi sya na pipindot kapag nasa ilalim ng tubig...",5
"nice And quality items for its price",5
"ganda nya! wah ready na mag beach",5
"Thank you seller ang ganda nya kasyang kasya sa phone waiting uli sa mga item nyo na mgaganda",5
"Satisfied ako sa product. Walang damage and well packed. Kasya ang Samsung A71 and may extra space pa. I tried it underwater and di talaga siya pinasukan ng tubig. Ang request ko lang, sana ibubble wrap ang product para hindi madamage sa delivery. ",4
"hindi dumating yung exact order ko. ang akala kong buy one take one sa color, pink and black dapat, parehas na pink binigay. tapos yung blue at black, blue lang din. pero ok n din. maganda nmn, ung kulay na kasama lng di nasunod. 4 stars lng dahil s d nasunod kasamang kulay",4
"nakalagay sa pic black and yellow pero parehas yellow dumating. pero maganda naman yung product pwede mo isawsaw sa tubig cp mo nang isang buwan. tjlsfsfbzfskhrakhrskharjhsfksfhkfshkrhskrhdkrshjrhhjfzxhfkxrhxrgjegsragjjfjaafjjduafjhzgxjrgjrdhggyjdvhdrvsrrgsecgaexgsedgfaegseffghcrsgchdsgdhschdhjdgthjdtgfbylkghykkbigukfyhojdtcrstehdtedattdeytedagtedagxeadgexahagdrhshfrsjfjgdkouhtopuhtoilygfgkuvfufrweydetdwteydy",4
"mali naman nadeliver. Dapat black and violet kaso parehong violet ang dumating. ",4
"The package/items arrived within the timeframe of delivery... and the price is OK for its quality... There's no assurance yet for the leakage as I am just about to try to use these.",4
"parcels arrived today 2nd buy to this shop very legit po sya ..dito na ako lagi bibili ...masyadong menthol lang takaga un free juice Nia Kaya bumili na lang din ako nang ibang juice",1
"thanks legitttt .. ang problema super leaking kakabukas ko Lang ubos na agad proof po na leaking sya",1
"bat lasa pong plastic hindi po ba to fake? I'll try all sobrang panget ng lasa.5 pa naman binili ko.",1
"Cause the one pods i open its leaking!!!! its a waste of money how can i use this! Its cost me 185 then im not able to use it!!!! please make sure your pods has no leak!!!!!!! i want a refund. what you gonna do about it!!!??? ",1
"may leak yung binili kung pods sa inyo sayang yung perang pinambili ko? baka pwede nyo pong palitan ito? huhu seller please gawan nyo po sana ng paraan ",1
"I love it omg! sobrang smooth niya. so far, pangatlong bili ko na tong mouse sa online and i'm so happy na hindi ako nadisappoint dito puro kase budol nabili ko last time. i will definitely buy again and i will recomment it to my friends!",5
"Its working. thankyou so much!!Its working. thankyou so much!!Its working. thankyou so much!!",5
"I need a basic mouse and I know Rapoo is a good brand. Well packed and shipped fast. Thank you Rapoo and Lazada and LEXPH who always deliver my Lazada Parcels.",5
"So far working naman sya...Sana naman tumagal sya sakin though hindi naman pang heavy duty . Salamat Laza",5
"Delightful with the product from them. So far, it's working well, properly packed and no damage. Seller didn't failed to send the right design and color of my mouse.Thank you seller! Love my new buddy. it's regular but comfy gadget I got!  ",5
"This is the best buy",5
"nice nice nice....good and affordable price legit sya",5
"maganda siya........... ............................... and affordable at the same time..................................................",5
"Nice it's a good Brand.. I recommend this store.. Thank you",5
"Ang ganda po sulit na sulit sana tumagal! mabilis din delivery Ang ganda po sulit na sulit sana tumagal! mabilis din delivery ",5
"",4
"Simple yet classy. Nameet din yung estimated delivery. Sana meron lang white mas prefer ko kasi sana yun",4
"First time to purchase on this store and I placed my order at 9.9 and I m satisfied  cos they delivered it immediately. Item was well packed - though the box was slightly deformed, it s alright since the item itself is working naman. Thank you!",4
"Great Product, although may kaunting dent/damage yung box, safe naman yung mismong product sa loob. Gumana siya sa pc at laptop ko. ",4
"good item ang smooth Nia gmitin and ang bilis dumating mga 3 days lang ata na-deliver agad! thank you seller. ",4
"Simple yet classy. Nameet din yung estimated delivery. Sana meron lang white mas prefer ko kasi sana yun",4
"First time to purchase on this store and I placed my order at 9.9 and I m satisfied  cos they delivered it immediately. Item was well packed - though the box was slightly deformed, it s alright since the item itself is working naman. Thank you!",4
"Great Product, although may kaunting dent/damage yung box, safe naman yung mismong product sa loob. Gumana siya sa pc at laptop ko. ",4
"good item ang smooth Nia gmitin and ang bilis dumating mga 3 days lang ata na-deliver agad! thank you seller. ",4
"Keri na din, di masyadong recommended may sariling buhay yung mouse hahahahaa",2
"Masyadong sensitive ung mouse, kahit hindi nakadikit sa surface ung sensor at tinry kong imove, sumasabay ung cursor which is very annoying. ",2
"The left click is not working at all. Yung right click ang walang problema. Got this item only last October 20. Can this be replaced, please? ",1
"thank you! received the cable in good condition and its working! but as to how fast, we will report back..",5
"thank you very much! just recieved and its 10/10",5
"i got my first order here  nagamit ko na sya at legit fast charger sya  highly recommended this",5
"Magandaaaaa and mabilis din naman magcharge so sulitttttt and well packed naman nung dumating thanks",5
"ok naman sya so far at mukang matibay saka mura ko lang nabili.. I love lazada talaga bilis pa ng delivery...",5
"sorry super later review. ok naman ang item nong nareceive ko. tama naman ang ipinadala at charging naman sya. more than hour din bago mafull charge. ang napansin ko lang ngayon lumuwag na yong dulo na sa fone nakasaksak.. pero ok na rin.. ",4
"just what i wanted to have for my convenience at work...thanks!",4
"maganda ",4
"Nysbahahhahahahahahahhahahahahhahahahahahahhshshshshahsbahahbsbsbsbsbsbsbbsbsbsbsbsbsbsbsbsbsbsbsbshshhshshshsbsbs",4
"does not act as fast charging sometimes. works like a regular charging cable. 4 stars for that. thanks still.",4
"2 order ko Isa lang dumating,Sana check nyo muna bago nyo esend,Sayang naman kala ko maka discount na ako...hanap nalang ulit ako legit at honest store ",2
"Fast shipping. Not happy the cable on the bottom I bought in the store much thicker than cable I bought here. The cables are different models bottom from store cb 222 much thicker than here cb 221. Hopefully it will last.",2
"not fast charger naman po eee hayz ....... nnajaja kakakakakakakakakakakakakakakaini ",2
"The item was not C-type. I ordered usb to c- type. The description says usb to c-type, but that was not what I got. I feel cheated! I want a refund!",1
"hindi po tama ang item na dineliver sakin.hassle ",2
"The item was not C-type. I ordered usb to c- type. The description says usb to c-type, but that was not what I got. I feel cheated! I want a refund!",1
"Tested charging. But the item is not legit from thier discription. NOT LEGIT, NOT LEGIT, so disappointed",1
"Di gumagana yung isa cord hays... tapos isasauli pa yung isa piraso pipila ka ng pagkahabahaba para lang sa ganyan ang pangit ng service sana chinecheck muna kung nagaya yung item, yung isa ok naman nagana ",1
"Antagal po dumating ng parcel ko, lumagpas pa sa estimated date ng delivery.",1
"ok naman cxa sana tumalagal",1
"Worth the price esp for those laptops that only have 2.0 and up USB ports. Fast delivery...",5
"very goods ang item no problem , mabilis dumating, salamat seller!",5
"Item delivered on time and good condition. Good job Ervin Pabillare for safely handling and delivery of item.",5
"I just installed the right driver from their website and boom it works! my pc is running on windows10 and now I can use a 3rd screen monitor for our church.. thanks seller and Lazada.. great item..",5
"Plug&play, just wait more or less 1 minute and will automatically give you the output..",5
"I already used poco f1 from my friend and oppo a5 2020 mine and still both devices won't detect from the adapter but kudos to the seller for the service that I got my refund and thank you so much, I will wait for the stocks to be available I hope I get a working one.",4
"differnt item was delivered. but i think the supplier give a extension or hdmi adapter",4
"It s working 🏻 🏻",4
"hindi kopa po nagagamit aantayin kopa yung usb dangle na type c sana hindi sira 30 days refund namanbilis ng deliver 2 days lang ",4
"Used at May 13, 2021. Not functioning now June 12, 2021. but is good for additional monitor",4
